transaction_id,amount,payment_method,bank_response_code,network_latency_ms,fraud_score,prior_failed_attempts_24h,customer_tenure_days,account_balance_signal,hour_of_day,is_recurring_subscription,true_failure_cause
TXN100040,2602.85,debit_card,96,564.5,0.074,0,61,0.781,11,1,network_error
TXN100041,6119.4,upi,51,152.1,0.294,2,82,0.158,16,0,insufficient_funds
TXN100042,905.38,credit_card,91,358.5,0.005,0,100,0.4,17,1,bank_timeout
TXN100043,326.98,wallet,96,377.3,0.026,1,818,0.494,21,0,bank_timeout
TXN100044,552.27,wallet,61,250.6,0.085,0,391,0.668,21,1,insufficient_funds
TXN100045,3710.8,upi,51,181.5,0.748,1,414,0.112,5,1,insufficient_funds
TXN100046,583.04,credit_card,51,202.1,0.109,3,437,0.071,10,0,insufficient_funds
TXN100047,2506.92,netbanking,61,228.3,0.235,0,264,0.456,12,0,insufficient_funds
TXN100048,139.24,upi,96,457.9,0.181,0,1,0.55,22,0,network_error
TXN100049,7084.45,credit_card,51,207.6,0.274,0,355,0.039,7,1,insufficient_funds
TXN100050,8976.29,upi,59,196.0,0.552,0,374,0.637,12,0,fraud_false_positive
TXN100051,1152.58,credit_card,5,229.3,0.782,0,1312,0.857,2,0,fraud_false_positive
TXN100052,488.13,wallet,61,116.3,0.331,1,355,0.176,6,1,insufficient_funds
TXN100053,5714.81,credit_card,51,191.6,0.535,1,24,0.093,2,0,insufficient_funds
TXN100054,1859.56,debit_card,51,146.4,0.237,4,36,0.29,5,1,insufficient_funds
TXN100055,1601.86,credit_card,65,216.3,0.156,3,68,0.639,5,0,insufficient_funds
TXN100056,2200.29,netbanking,59,172.9,0.861,0,356,0.781,15,0,fraud_false_positive
TXN100057,690.85,wallet,5,645.1,0.06,1,436,0.589,11,1,network_error
TXN100058,3306.89,upi,51,242.6,0.194,1,634,0.081,2,1,insufficient_funds
TXN100059,4778.78,credit_card,51,176.0,0.116,0,422,0.283,16,0,insufficient_funds
TXN100060,6417.4,debit_card,51,200.6,0.158,2,327,0.064,7,0,insufficient_funds
TXN100061,683.62,upi,91,313.8,0.008,1,327,0.347,9,1,bank_timeout
TXN100062,1434.76,upi,59,176.4,0.712,0,2725,0.701,8,1,fraud_false_positive
TXN100063,7702.5,credit_card,5,252.5,0.687,0,928,0.796,12,0,fraud_false_positive
TXN100064,1944.93,credit_card,91,395.7,0.194,0,258,0.382,20,1,bank_timeout
TXN100065,1109.7,credit_card,96,312.6,0.345,0,162,0.33,7,0,network_error
TXN100066,4158.65,netbanking,91,141.2,0.288,1,543,0.671,4,0,bank_timeout
TXN100067,3124.11,credit_card,5,313.3,0.145,1,143,0.429,4,0,network_error
TXN100068,2433.25,credit_card,96,437.6,0.188,0,131,0.679,0,0,bank_timeout
TXN100069,4712.68,wallet,65,185.6,0.177,1,12,0.007,0,1,insufficient_funds
TXN100070,4760.0,upi,65,212.2,0.068,3,635,0.183,8,0,insufficient_funds
TXN100071,1669.91,debit_card,96,492.3,0.197,1,198,0.592,10,0,network_error
TXN100072,4942.17,debit_card,51,233.5,0.311,1,6,0.021,20,1,insufficient_funds
TXN100073,646.09,wallet,91,257.5,0.033,2,1556,0.666,14,0,bank_timeout
TXN100074,2056.68,upi,91,386.9,0.469,0,632,0.729,6,0,bank_timeout
TXN100075,1574.6,credit_card,5,401.3,0.14,0,508,0.106,9,1,network_error
TXN100076,4091.41,credit_card,61,212.1,0.149,1,74,0.297,14,0,insufficient_funds
TXN100077,4182.16,debit_card,51,158.1,0.163,1,516,0.04,6,1,insufficient_funds
TXN100078,1946.86,debit_card,51,112.5,0.091,1,409,0.361,21,1,insufficient_funds
TXN100079,7655.35,debit_card,59,187.0,0.786,0,202,0.701,11,1,fraud_false_positive
TXN100080,750.89,debit_card,91,419.2,0.323,2,353,0.627,8,0,bank_timeout
TXN100081,507.36,credit_card,5,543.8,0.352,0,494,0.076,13,0,network_error
TXN100082,2025.75,credit_card,96,352.3,0.19,1,466,0.524,20,0,bank_timeout
TXN100083,481.96,credit_card,91,369.3,0.095,0,9,0.749,1,0,bank_timeout
TXN100084,318.4,upi,96,352.3,0.187,1,501,0.695,5,0,network_error
TXN100085,1647.03,credit_card,51,159.7,0.058,0,215,0.39,20,1,insufficient_funds
TXN100086,2002.84,upi,96,485.3,0.132,0,68,0.65,5,0,network_error
TXN100087,1311.71,credit_card,59,223.3,0.775,0,1368,0.934,16,0,fraud_false_positive
TXN100088,1544.17,debit_card,96,511.1,0.181,0,6,0.551,14,1,bank_timeout
TXN100089,3571.73,debit_card,96,650.6,0.253,2,1865,0.509,17,0,network_error
TXN100090,2735.37,credit_card,51,213.3,0.244,0,365,0.215,19,0,insufficient_funds
TXN100091,273.67,wallet,61,126.4,0.304,2,599,0.252,12,0,insufficient_funds
TXN100092,882.87,credit_card,61,181.2,0.043,1,333,0.434,9,0,insufficient_funds
TXN100093,2807.93,netbanking,5,397.3,0.176,1,582,0.441,11,1,network_error
TXN100094,734.7,debit_card,51,135.7,0.203,1,213,0.039,3,0,insufficient_funds
TXN100095,1258.9,credit_card,96,462.0,0.525,0,506,0.666,3,0,network_error
TXN100096,1169.06,debit_card,91,279.1,0.224,1,63,0.62,19,0,bank_timeout
TXN100097,6307.89,upi,51,158.9,0.251,3,649,0.303,17,1,insufficient_funds
TXN100098,1440.79,wallet,96,444.3,0.143,0,23,0.719,15,1,network_error
TXN100099,713.81,debit_card,91,307.9,0.377,1,545,0.521,13,1,bank_timeout
TXN100100,4486.79,debit_card,63,214.7,0.616,0,148,0.63,1,0,fraud_false_positive
TXN100101,1151.03,upi,96,243.0,0.331,0,51,0.296,5,1,bank_timeout
TXN100102,1352.01,wallet,96,298.3,0.068,0,1051,0.441,16,0,bank_timeout
TXN100103,4352.26,upi,65,172.8,0.481,2,296,0.268,14,0,insufficient_funds
TXN100104,10327.5,debit_card,59,138.6,0.665,0,820,0.476,5,1,fraud_false_positive
TXN100105,2092.36,credit_card,63,147.1,0.692,0,1558,0.559,5,0,fraud_false_positive
TXN100106,1414.57,debit_card,96,480.2,0.252,0,622,0.529,14,0,network_error
TXN100107,1236.54,debit_card,96,413.7,0.289,0,572,0.433,20,0,bank_timeout
TXN100108,2204.39,wallet,65,194.0,0.333,2,237,0.332,13,0,insufficient_funds
TXN100109,6353.19,credit_card,51,201.6,0.284,2,239,0.428,8,0,insufficient_funds
TXN100110,2201.37,netbanking,5,551.4,0.297,0,437,0.469,2,0,network_error
TXN100111,3295.47,upi,96,437.9,0.287,0,94,0.326,3,0,network_error
TXN100112,1340.13,debit_card,68,468.3,0.299,0,320,0.582,16,0,bank_timeout
TXN100113,923.05,debit_card,91,427.0,0.521,0,123,0.668,6,0,bank_timeout
TXN100114,5453.28,upi,51,210.3,0.11,1,449,0.108,14,0,insufficient_funds
TXN100115,2269.28,debit_card,91,283.4,0.018,0,42,0.342,10,0,bank_timeout
TXN100116,2304.79,credit_card,91,325.9,0.135,3,298,0.594,22,1,bank_timeout
TXN100117,2567.49,debit_card,61,150.5,0.148,1,346,0.385,4,0,insufficient_funds
TXN100118,2266.41,credit_card,65,189.1,0.017,3,328,0.542,10,0,insufficient_funds
TXN100119,3232.75,credit_card,61,107.8,0.113,2,1299,0.321,16,0,insufficient_funds
TXN100120,1069.52,credit_card,61,222.5,0.128,0,710,0.069,1,0,insufficient_funds
TXN100121,2072.57,upi,96,422.0,0.199,0,129,0.339,4,1,bank_timeout
TXN100122,2719.63,netbanking,51,133.1,0.156,0,574,0.549,13,0,insufficient_funds
TXN100123,4493.66,credit_card,91,485.6,0.105,0,1780,0.699,2,1,bank_timeout
TXN100124,1261.17,upi,51,124.8,0.26,3,560,0.234,7,0,insufficient_funds
TXN100125,2918.1,credit_card,96,364.7,0.379,0,53,0.453,5,0,network_error
TXN100126,600.39,credit_card,51,149.5,0.295,0,409,0.216,16,1,insufficient_funds
TXN100127,9932.55,netbanking,63,190.7,0.275,0,746,0.406,10,0,fraud_false_positive
TXN100128,2755.82,debit_card,68,424.4,0.041,0,1336,0.458,17,1,bank_timeout
TXN100129,1391.3,wallet,91,410.5,0.098,1,91,0.47,14,1,bank_timeout
TXN100130,2144.02,debit_card,51,219.3,0.133,0,783,0.296,5,0,insufficient_funds
TXN100131,10152.34,debit_card,63,122.3,0.656,0,452,0.723,16,0,fraud_false_positive
TXN100132,1482.54,upi,68,331.7,0.064,0,312,0.688,7,0,bank_timeout
TXN100133,2157.07,debit_card,59,206.8,0.867,0,227,0.535,3,1,fraud_false_positive
TXN100134,3421.11,wallet,51,189.8,0.057,0,265,0.12,4,0,insufficient_funds
TXN100135,2702.99,upi,96,737.8,0.188,0,162,0.455,0,0,network_error
TXN100136,3374.23,debit_card,63,108.2,0.675,0,625,0.596,9,0,fraud_false_positive
TXN100137,3501.09,wallet,68,364.5,0.083,0,538,0.647,11,0,bank_timeout
TXN100138,902.12,credit_card,68,362.6,0.287,1,1893,0.354,0,0,bank_timeout
TXN100139,1884.39,netbanking,21,626.6,0.495,1,361,0.33,12,0,network_error
TXN100140,5082.92,credit_card,51,172.8,0.075,3,620,0.457,12,1,insufficient_funds
TXN100141,4280.44,netbanking,65,206.3,0.295,2,158,0.192,4,0,insufficient_funds
TXN100142,1118.54,netbanking,21,83.4,0.169,0,36,0.415,3,1,network_error
TXN100143,643.37,debit_card,21,550.7,0.208,1,269,0.403,19,0,network_error
TXN100144,4871.84,debit_card,61,134.0,0.046,1,185,0.637,9,0,insufficient_funds
TXN100145,495.24,netbanking,51,185.3,0.245,3,1436,0.094,14,1,insufficient_funds
TXN100146,1060.58,credit_card,96,581.2,0.046,1,239,0.528,19,0,network_error
TXN100147,2718.67,upi,5,515.8,0.081,0,185,0.651,11,0,network_error
TXN100148,3263.37,credit_card,63,234.2,0.616,0,392,0.452,0,0,fraud_false_positive
TXN100149,778.12,debit_card,91,337.5,0.08,0,271,0.669,7,0,bank_timeout
TXN100150,1073.69,upi,68,331.6,0.109,0,153,0.866,21,0,bank_timeout
TXN100151,1506.77,debit_card,68,340.7,0.141,1,234,0.284,1,1,bank_timeout
TXN100152,2611.52,netbanking,59,189.3,0.639,0,787,0.706,9,1,fraud_false_positive
TXN100153,2857.79,netbanking,51,146.6,0.304,2,317,0.361,14,1,insufficient_funds
TXN100154,4778.02,debit_card,51,143.4,0.057,1,1210,0.159,13,0,insufficient_funds
TXN100155,2353.3,debit_card,68,428.2,0.084,3,774,0.38,17,0,bank_timeout
TXN100156,7771.11,credit_card,5,176.0,0.579,0,2357,0.533,5,0,fraud_false_positive
TXN100157,4311.39,netbanking,68,418.5,0.211,1,403,0.504,13,1,bank_timeout
TXN100158,4689.04,upi,59,235.4,0.769,0,194,0.464,21,0,fraud_false_positive
TXN100159,2370.7,credit_card,96,332.2,0.009,1,390,0.373,14,0,bank_timeout
TXN100160,1843.27,debit_card,51,124.9,0.115,1,311,0.376,21,0,insufficient_funds
TXN100161,4421.75,credit_card,51,210.3,0.177,4,378,0.372,15,0,insufficient_funds
TXN100162,4491.69,netbanking,5,543.4,0.162,0,965,0.526,18,0,network_error
TXN100163,2854.79,upi,51,202.9,0.091,2,1143,0.296,22,0,insufficient_funds
TXN100164,1548.71,upi,96,402.1,0.065,1,762,0.659,11,1,bank_timeout
TXN100165,7616.15,credit_card,61,194.2,0.128,2,257,0.472,1,0,insufficient_funds
TXN100166,2396.52,credit_card,59,211.1,0.641,0,1061,0.742,20,1,fraud_false_positive
TXN100167,4478.04,credit_card,51,221.8,0.295,1,226,0.341,17,1,insufficient_funds
TXN100168,2385.19,debit_card,96,314.8,0.365,3,1356,0.219,2,0,bank_timeout
TXN100169,1012.68,debit_card,51,223.3,0.039,2,392,0.193,9,0,insufficient_funds
TXN100170,3432.51,netbanking,91,365.9,0.272,0,987,0.593,22,1,bank_timeout
TXN100171,3494.45,upi,51,206.1,0.352,0,17,0.036,0,0,insufficient_funds
TXN100172,2035.51,credit_card,21,555.6,0.01,0,1271,0.518,7,0,network_error
TXN100173,1100.34,upi,59,231.8,0.77,1,120,0.712,14,1,fraud_false_positive
TXN100174,1952.83,wallet,61,172.1,0.197,0,253,0.181,7,0,insufficient_funds
TXN100175,2141.97,upi,51,160.6,0.085,0,914,0.231,13,0,insufficient_funds
TXN100176,3278.79,credit_card,65,176.0,0.442,0,171,0.256,22,1,insufficient_funds
TXN100177,3329.83,credit_card,59,242.3,0.535,0,1768,0.637,12,1,fraud_false_positive
TXN100178,4539.48,debit_card,5,508.9,0.23,0,71,0.442,15,0,network_error
TXN100179,4388.32,credit_card,59,222.3,0.55,1,173,0.465,21,1,fraud_false_positive
TXN100180,921.29,debit_card,96,515.7,0.361,0,1483,0.447,4,0,network_error
TXN100181,1448.61,debit_card,21,354.3,0.355,0,208,0.719,22,0,network_error
TXN100182,1531.85,netbanking,51,207.7,0.189,2,23,0.41,7,1,insufficient_funds
TXN100183,3233.71,netbanking,51,231.8,0.16,1,378,0.06,3,0,insufficient_funds
TXN100184,2607.57,debit_card,59,98.9,0.905,0,338,0.651,5,0,fraud_false_positive
TXN100185,3817.81,credit_card,65,134.1,0.47,3,939,0.251,20,0,insufficient_funds
TXN100186,1096.9,upi,96,614.5,0.126,1,994,0.393,13,0,network_error
TXN100187,3141.81,credit_card,96,358.5,0.231,2,198,0.472,12,0,bank_timeout
TXN100188,3465.36,credit_card,51,190.6,0.12,2,220,0.107,0,0,insufficient_funds
TXN100189,765.53,debit_card,51,206.1,0.204,1,159,0.231,14,1,insufficient_funds
TXN100190,2184.7,upi,65,193.4,0.683,3,28,0.131,16,0,insufficient_funds
TXN100191,1347.37,credit_card,65,175.3,0.092,1,98,0.212,12,1,insufficient_funds
TXN100192,3128.87,upi,65,144.9,0.074,1,38,0.226,5,1,insufficient_funds
TXN100193,280.16,debit_card,61,66.3,0.307,0,863,0.236,16,1,insufficient_funds
TXN100194,5373.35,debit_card,61,174.8,0.243,1,1116,0.29,1,0,insufficient_funds
TXN100195,2520.21,wallet,68,334.5,0.15,0,901,0.593,9,1,bank_timeout
TXN100196,1968.86,upi,51,197.4,0.313,1,334,0.37,14,0,insufficient_funds
TXN100197,1625.31,upi,51,161.3,0.134,0,21,0.281,19,0,insufficient_funds
TXN100198,699.74,credit_card,91,251.0,0.16,0,156,0.395,12,0,bank_timeout
TXN100199,702.67,credit_card,5,344.7,0.049,0,394,0.527,3,0,network_error
TXN100200,2212.54,wallet,51,204.2,0.351,1,223,0.238,10,0,insufficient_funds
TXN100201,3514.19,upi,51,113.2,0.3,3,25,0.179,21,0,insufficient_funds
TXN100202,2872.99,debit_card,51,146.1,0.352,0,34,0.296,23,0,insufficient_funds
TXN100203,1204.94,upi,96,546.3,0.343,1,805,0.457,15,1,network_error
TXN100204,1501.7,netbanking,68,454.3,0.432,0,68,0.507,6,0,bank_timeout
TXN100205,1264.66,upi,96,258.6,0.268,1,195,0.455,4,0,network_error
TXN100206,3557.96,credit_card,51,178.7,0.148,1,447,0.35,11,1,insufficient_funds
TXN100207,1082.43,debit_card,5,711.3,0.205,1,67,0.259,19,1,network_error
TXN100208,623.67,credit_card,96,545.6,0.195,0,84,0.429,6,0,network_error
TXN100209,3326.35,wallet,51,208.2,0.171,1,450,0.227,22,1,insufficient_funds
TXN100210,8421.95,debit_card,51,174.4,0.436,4,381,0.48,6,0,insufficient_funds
TXN100211,1818.55,netbanking,59,272.5,0.901,0,1193,0.634,2,0,fraud_false_positive
TXN100212,1679.36,netbanking,51,215.2,0.31,2,254,0.305,3,1,insufficient_funds
TXN100213,1213.53,debit_card,51,202.4,0.084,3,1203,0.016,19,0,insufficient_funds
TXN100214,5420.7,credit_card,51,244.7,0.171,0,123,0.298,15,1,insufficient_funds
TXN100215,5048.17,debit_card,51,163.6,0.152,2,393,0.27,11,0,insufficient_funds
TXN100216,973.68,wallet,91,334.2,0.126,1,25,0.48,13,0,bank_timeout
TXN100217,2561.26,upi,68,401.6,0.202,1,168,0.475,0,0,bank_timeout
TXN100218,2229.93,debit_card,5,226.5,0.88,0,210,0.72,14,0,fraud_false_positive
TXN100219,784.03,netbanking,96,505.4,0.294,0,803,0.321,19,1,network_error
TXN100220,8461.67,debit_card,51,231.2,0.016,1,57,0.276,22,0,insufficient_funds
TXN100221,1410.3,debit_card,59,144.7,0.833,0,1082,0.801,12,0,fraud_false_positive
TXN100222,8113.19,upi,51,193.9,0.494,1,352,0.205,16,0,insufficient_funds
TXN100223,880.42,debit_card,51,178.3,0.063,2,118,0.381,12,0,insufficient_funds
TXN100224,1198.27,upi,91,230.9,0.133,1,801,0.461,1,1,bank_timeout
TXN100225,5973.29,credit_card,51,193.9,0.168,0,287,0.095,13,0,insufficient_funds
TXN100226,6580.74,debit_card,59,179.9,0.74,0,412,0.798,18,0,fraud_false_positive
TXN100227,1671.55,debit_card,5,168.6,0.764,0,1396,0.472,18,1,fraud_false_positive
TXN100228,1815.57,wallet,61,157.4,0.22,2,51,0.248,20,1,insufficient_funds
TXN100229,3786.02,debit_card,61,217.9,0.105,2,147,0.212,4,0,insufficient_funds
TXN100230,3275.67,credit_card,68,392.7,0.249,0,1057,0.639,5,0,bank_timeout
TXN100231,1831.63,debit_card,63,247.9,0.758,1,52,0.859,22,0,fraud_false_positive
TXN100232,1810.02,upi,68,335.5,0.271,1,858,0.817,20,1,bank_timeout
TXN100233,97.43,debit_card,5,633.6,0.021,1,660,0.852,17,0,network_error
TXN100234,2580.1,netbanking,96,534.0,0.16,0,42,0.293,17,1,network_error
TXN100235,6409.19,netbanking,51,179.6,0.27,2,490,0.286,5,1,insufficient_funds
TXN100236,2624.77,upi,59,185.3,0.722,2,693,0.699,14,1,fraud_false_positive
TXN100237,1369.01,upi,65,192.8,0.269,1,785,0.283,9,0,insufficient_funds
TXN100238,3207.12,credit_card,65,279.6,0.089,0,237,0.218,5,1,insufficient_funds
TXN100239,1682.12,upi,61,147.0,0.245,2,387,0.023,17,1,insufficient_funds
TXN100240,5504.8,debit_card,21,522.6,0.227,0,1717,0.62,16,0,network_error
TXN100241,1809.09,credit_card,91,143.6,0.293,2,46,0.686,1,0,bank_timeout
TXN100242,3545.71,credit_card,51,186.9,0.119,0,34,0.44,13,1,insufficient_funds
TXN100243,6233.93,debit_card,61,218.0,0.222,2,168,0.093,10,1,insufficient_funds
TXN100244,2011.62,credit_card,21,300.3,0.338,0,438,0.547,13,0,network_error
TXN100245,6227.1,debit_card,96,489.5,0.24,0,296,0.522,19,1,network_error
TXN100246,1389.11,debit_card,63,187.4,0.804,0,103,0.9,18,0,fraud_false_positive
TXN100247,8432.34,netbanking,63,183.6,0.707,0,197,0.608,23,1,fraud_false_positive
TXN100248,2477.16,credit_card,51,232.6,0.164,0,77,0.258,11,1,insufficient_funds
TXN100249,2086.27,debit_card,96,459.0,0.596,0,818,0.562,20,1,bank_timeout
TXN100250,1460.84,debit_card,61,119.4,0.093,1,20,0.262,5,0,insufficient_funds
TXN100251,2061.27,credit_card,51,160.5,0.169,1,15,0.237,0,0,insufficient_funds
TXN100252,1025.24,credit_card,91,247.3,0.368,2,363,0.411,22,0,bank_timeout
TXN100253,3139.91,upi,51,130.6,0.272,0,557,0.129,4,0,insufficient_funds
TXN100254,12221.25,credit_card,59,238.7,0.906,0,342,0.444,14,0,fraud_false_positive
TXN100255,1191.75,credit_card,96,446.5,0.272,0,70,0.541,11,0,network_error
TXN100256,3941.36,upi,96,603.2,0.198,2,226,0.646,18,0,network_error
TXN100257,482.82,upi,96,320.0,0.069,1,1475,0.307,12,0,network_error
TXN100258,1531.88,credit_card,51,144.7,0.048,0,166,0.398,16,1,insufficient_funds
TXN100259,1081.41,debit_card,96,493.3,0.203,2,322,0.662,11,0,network_error
TXN100260,1460.25,credit_card,96,501.5,0.173,0,69,0.507,3,0,network_error
TXN100261,4023.46,credit_card,96,453.5,0.206,0,67,0.205,19,0,network_error
TXN100262,2660.92,credit_card,96,337.2,0.535,1,477,0.431,4,0,bank_timeout
TXN100263,2501.0,netbanking,91,358.8,0.121,0,190,0.354,16,0,bank_timeout
TXN100264,5714.53,credit_card,59,229.5,0.748,1,1817,0.576,4,0,fraud_false_positive
TXN100265,1169.94,debit_card,96,462.8,0.153,1,1130,0.526,19,0,network_error
TXN100266,287.87,netbanking,51,63.8,0.188,2,506,0.264,13,0,insufficient_funds
TXN100267,763.2,wallet,96,420.4,0.277,0,56,0.346,11,0,bank_timeout
TXN100268,1806.59,netbanking,51,263.7,0.367,0,452,0.305,13,1,insufficient_funds
TXN100269,2229.46,debit_card,91,336.3,0.221,1,628,0.709,20,0,bank_timeout
TXN100270,1468.61,debit_card,63,155.4,0.737,0,57,0.634,22,1,fraud_false_positive
TXN100271,1694.8,debit_card,96,389.3,0.124,0,365,0.326,10,0,network_error
TXN100272,2071.49,upi,51,186.1,0.248,1,920,0.056,0,0,insufficient_funds
TXN100273,1794.62,netbanking,91,324.1,0.378,1,55,0.075,12,1,bank_timeout
TXN100274,2979.83,upi,96,318.8,0.358,0,425,0.646,10,0,network_error
TXN100275,2573.2,credit_card,5,561.4,0.253,2,20,0.683,1,0,network_error
TXN100276,2428.47,upi,5,480.9,0.204,0,210,0.366,12,0,network_error
TXN100277,1976.78,credit_card,91,305.1,0.347,1,54,0.338,9,0,bank_timeout
TXN100278,1996.25,credit_card,51,160.6,0.226,1,128,0.248,3,0,insufficient_funds
TXN100279,3089.52,debit_card,96,405.2,0.018,0,750,0.601,23,0,network_error
TXN100280,1743.92,netbanking,21,490.3,0.302,0,1232,0.488,15,1,network_error
TXN100281,3417.41,credit_card,61,216.7,0.288,0,1652,0.138,15,1,insufficient_funds
TXN100282,6670.54,credit_card,59,196.5,0.813,0,495,0.591,20,0,fraud_false_positive
TXN100283,1762.43,debit_card,51,160.2,0.132,0,76,0.637,1,1,insufficient_funds
TXN100284,555.99,credit_card,96,595.3,0.188,0,288,0.72,12,0,network_error
TXN100285,3103.84,netbanking,96,491.2,0.181,1,306,0.454,19,1,network_error
TXN100286,2320.88,credit_card,5,157.8,0.64,2,320,0.722,1,1,fraud_false_positive
TXN100287,1179.31,debit_card,96,525.1,0.056,1,96,0.582,12,0,network_error
TXN100288,1739.76,debit_card,96,605.4,0.206,0,493,0.769,7,1,network_error
TXN100289,7619.78,netbanking,63,138.7,0.785,0,670,0.584,0,0,fraud_false_positive
TXN100290,2714.58,wallet,96,576.8,0.104,0,297,0.364,15,0,network_error
TXN100291,535.5,debit_card,68,489.9,0.215,0,1232,0.49,22,0,bank_timeout
TXN100292,4694.36,upi,51,157.3,0.061,1,193,0.242,17,1,insufficient_funds
TXN100293,5841.01,credit_card,51,217.3,0.214,1,1770,0.199,21,0,insufficient_funds
TXN100294,6467.39,credit_card,51,192.4,0.126,2,52,0.355,9,0,insufficient_funds
TXN100295,2945.79,debit_card,91,446.8,0.272,0,1724,0.306,18,1,bank_timeout
TXN100296,5012.69,upi,61,184.5,0.199,0,461,0.451,18,1,insufficient_funds
TXN100297,1569.43,credit_card,61,187.8,0.036,2,531,0.167,12,1,insufficient_funds
TXN100298,6352.94,netbanking,63,181.5,0.844,0,917,0.849,4,0,fraud_false_positive
TXN100299,2393.84,netbanking,91,282.7,0.347,1,251,0.358,6,0,bank_timeout
TXN100300,1843.43,credit_card,68,370.4,0.28,0,297,0.44,2,0,bank_timeout
TXN100301,5475.16,credit_card,59,186.9,0.509,0,1346,0.792,13,1,fraud_false_positive
TXN100302,3752.68,netbanking,51,155.9,0.162,0,350,0.251,8,1,insufficient_funds
TXN100303,4037.09,upi,63,229.4,0.86,0,1271,0.663,18,0,fraud_false_positive
TXN100304,1381.88,credit_card,61,157.5,0.128,2,26,0.247,11,0,insufficient_funds
TXN100305,2036.48,upi,96,330.6,0.233,0,231,0.597,16,0,network_error
TXN100306,5918.79,netbanking,51,171.1,0.139,0,407,0.215,10,1,insufficient_funds
TXN100307,4308.23,upi,51,139.5,0.056,1,650,0.357,7,0,insufficient_funds
TXN100308,734.07,upi,51,159.3,0.335,2,421,0.34,17,0,insufficient_funds
